Temperature,Duration,Location,Shapiro_W,p_value,Normality_OK
-15,0.1,0.0,0.8523877980899366,1.520684205420742e-05,0
-15,0.1,0.25,0.8392768546045377,1.4914912072320356e-06,0
-15,0.1,0.5,0.9474725396438161,0.011866349886516364,1
-15,0.1,0.75,0.8296050484816924,5.756556903424253e-07,0
-15,0.1,1.0,0.8591366742455585,7.774611227129054e-06,0
-15,1.0,0.0,0.8634291702550952,1.660001945280259e-05,0
-15,1.0,0.25,0.9234178470057548,0.001055693455792147,0
-15,1.0,0.5,0.9452616780070751,0.008629913666748815,1
-15,1.0,0.75,0.8344241658768801,1.5171485289056696e-06,0
-15,1.0,1.0,0.8559174741258312,3.925129730527278e-06,0
-15,2.0,0.0,0.8037457629387352,7.297177740175717e-07,0
-15,2.0,0.25,0.9013295894296383,0.00014710789278277292,0
-15,2.0,0.5,0.9397284549451445,0.0057618469396052115,1
-15,2.0,0.75,0.7766272986848685,3.69384238408508e-08,0
-15,2.0,1.0,0.8253563171451458,1.7296931784372142e-06,0
0,0.1,0.0,0.8088547472059988,4.619211846288793e-07,0
0,0.1,0.25,0.8188071375385024,5.799104984145138e-07,0
0,0.1,0.5,0.9337934363293535,0.002383816605759026,0
0,0.1,0.75,0.799036888498276,1.8365674239964653e-07,0
0,0.1,1.0,0.7942191754441101,4.370905284182518e-07,0
0,1.0,0.0,0.8376342984981691,1.578184278535889e-06,0
0,1.0,0.25,0.9007039865708059,0.00010880206126931119,0
0,1.0,0.5,0.9644533930263783,0.07784194032522947,1
0,1.0,0.75,0.8975019769495942,0.00010679576718005661,0
0,1.0,1.0,0.8139925509103979,7.438365133405229e-07,0
0,2.0,0.0,0.7510667194044407,2.1962747378469453e-08,0
0,2.0,0.25,0.8940851384401345,8.063001465428441e-05,0
0,2.0,0.5,0.9614811340104622,0.0628377132610414,1
0,2.0,0.75,0.9084519492799766,0.00021398615252716589,0
0,2.0,1.0,0.9272808141250866,0.002565250412357566,0
9,0.1,0.0,0.8460268558670525,7.283928138067873e-06,0
9,0.1,0.25,0.8654494106066144,5.782945795937676e-06,0
9,0.1,0.5,0.9234210553974975,0.0010560130650236034,0
9,0.1,0.75,0.8367300709958747,1.2638946757595437e-06,0
9,0.1,1.0,0.8421410159656914,4.079094479530516e-06,0
9,1.0,0.0,0.8568272135797668,1.0613819141818286e-05,0
9,1.0,0.25,0.9058681440035157,0.0002765662253860008,0
9,1.0,0.5,0.9650161918281311,0.08770470244616027,1
9,1.0,0.75,0.8978533268966048,0.00012492545665402543,0
9,1.0,1.0,0.8630368823697293,1.1881786775374025e-05,0
9,2.0,0.0,0.8406770170151098,3.71840633777216e-06,0
9,2.0,0.25,0.9167458171199729,0.0006364416907072008,0
9,2.0,0.5,0.9408762690478147,0.00542640820001569,1
9,2.0,0.75,0.8638205727109498,6.884426618436245e-06,0
9,2.0,1.0,0.8303131515906655,1.1720310370065209e-06,0
