participantNumber,trialNumber,location,thermal,feltIllusion
17,1,0,-1,0
17,2,0,0,0
17,3,0,-1,0
17,4,0,1,0
17,5,0,-1,0
17,6,0.125,1,1
17,7,0.1694444,1,1
17,8,0.2666667,-1,0
17,9,0.1722222,0,0
17,10,0,1,1
17,11,0,0,0
17,12,0.7444444,0,0
17,13,0,1,1
17,14,0,1,1
17,15,0.7527778,-1,0
17,16,0.775,0,0
17,17,0.725,0,0
17,18,0,1,0
17,19,0,-1,0
17,20,0.7388889,-1,0
17,21,0.925,-1,0
17,22,0,-1,0
17,23,0.9,-1,0
17,24,0.8222222,-1,0
17,25,0.9277778,1,0
17,26,0.775,-1,0
17,27,0.375,1,0
17,28,0,0,0
17,29,0.9333333,1,0
17,30,0.9111111,1,1
17,31,0.3361111,0,0
17,32,0.3777778,1,1
17,33,0,0,0
17,34,0.35,-1,0
17,35,0,-1,0
17,36,0.8138889,0,0
17,37,0,0,0
17,38,0.9194444,0,0
17,39,0.8777778,-1,0
17,40,0.8944445,1,1
17,41,0,1,1
17,42,0,1,0
17,43,0,-1,0
17,44,0.9194444,1,0
17,45,0,-1,0
17,46,0.3472222,0,0
17,47,0,0,0
17,48,0.9583333,-1,0
17,49,0,0,0
17,50,0,0,0
17,51,0.9111111,0,0
17,52,0.3638889,1,0
17,53,0.8333333,1,0
17,54,0,1,0
17,55,0,-1,0
17,56,0.9305556,-1,0
17,57,0,0,0
17,58,0.3666667,1,0
17,59,0.9027778,1,1
17,60,0,-1,0
17,61,1,-1,0
17,62,0.9611111,0,0
17,63,0,-1,0
17,64,0.8527778,0,0
17,65,0.3111111,0,0
17,66,0,0,0
17,67,0,1,0
17,68,0,-1,0
17,69,0,0,0
17,70,0,-1,0
17,71,0.8305556,0,0
17,72,0,1,0
17,73,0,-1,0
17,74,0,1,0
17,75,0.5972222,1,0
17,76,0.3388889,-1,0
17,77,0.9527778,-1,0
17,78,0.9555556,1,1
17,79,0,0,0
17,80,0,1,0
17,81,0,0,0
17,82,0.7722222,0,0
17,83,0.9083334,0,0
17,84,0,-1,0
17,85,0,-1,0
17,86,0.4861111,1,1
17,87,0.9083334,0,0
17,88,0.6055555,0,0
17,89,0,0,0
17,90,0.9444444,1,0
17,91,1,1,0
17,92,0,0,0
17,93,0.9027778,0,0
17,94,0.325,0,0
17,95,0.325,1,1
17,96,0,0,0
17,97,0.4055555,0,0
17,98,0,0,0
17,99,0,1,1
17,100,1,0,0
17,101,0,-1,0
17,102,0,-1,0
17,103,0,-1,0
17,104,0.9277778,1,0
17,105,0,-1,0
17,106,0.9805555,0,0
17,107,0,-1,0
17,108,0,0,0
17,109,1,1,1
17,110,0,0,0
17,111,0,-1,0
17,112,1,0,0
17,113,0.975,1,1
17,114,0.9805555,0,0
17,115,0,-1,0
17,116,0,1,0
17,117,0,-1,0
17,118,0.9333333,1,1
17,119,0.175,1,0
17,120,0.2193056,0,0
17,121,0,-1,0
17,122,1,-1,0
17,123,0,1,0
17,124,0.1888889,0,0
17,125,1,0,0
17,126,1,0,0
17,127,1,1,1
17,128,0.3555556,1,0
17,129,0,0,0
17,130,0.4111111,1,0
17,131,0.2944444,-1,0
17,132,0,-1,0
17,133,0.9388889,0,0
17,134,0.5694444,0,0
17,135,1,1,1
17,136,1,-1,0
17,137,1,1,1
17,138,1,0,0
17,139,0.3638889,-1,0
17,140,0.3916667,0,0
17,141,0.2805555,-1,0
17,142,1,1,0
17,143,1,1,0
17,144,0.925,0,0
17,145,1,-1,0
17,146,0,0,0
17,147,0.1694444,1,0
17,148,0.9805555,-1,0
17,149,0,0,0
17,150,1,-1,0
17,151,0.275,0,0
17,152,0,-1,0
17,153,0,0,0
17,154,0,1,0
17,155,0,-1,0
17,156,1,1,1
17,157,0,1,0
17,158,0,0,0
17,159,1,0,0
17,160,1,1,0
17,161,0,1,0
17,162,0,1,0
17,163,1,-1,0
17,164,1,1,1
17,165,0,0,0
17,166,1,1,1
17,167,0.7555556,0,0
17,168,1,1,1
17,169,1,-1,0
17,170,0.4888889,0,0
17,171,0.9666666,-1,0
17,172,0.9638889,0,0
17,173,1,0,0
17,174,0,1,0
17,175,0,-1,0
17,176,0.425,1,0
17,177,1,1,1
17,178,0.9277778,-1,0
17,179,0.9472222,0,0
17,180,0.2416667,0,0
