Measure,Duration,Direction,Levene_W,p_value,Homoscedasticity_OK
location1,0.1,0,0.5627221654388085,0.5700882181093366,1
location1,0.1,1,0.5289002495364306,0.5896473967492041,1
location1,0.25,0,0.7017788507523527,0.4962872164086637,1
location1,0.25,1,1.0564228699998632,0.3486260062090874,1
location1,0.5,0,0.29976856495318005,0.7411496184791605,1
location1,0.5,1,1.3202615567656413,0.26818209180682195,1
location2,0.1,0,0.5970116976534167,0.5509250262425648,1
location2,0.1,1,0.14546553118052835,0.8646636522758055,1
location2,0.25,0,0.1833372568504543,0.832554898611178,1
location2,0.25,1,0.8521637432950776,0.42723423168088437,1
location2,0.5,0,0.08238775514888588,0.9209298586249917,1
location2,0.5,1,1.836501564294574,0.16066999776981833,1
location3,0.1,0,0.5552884909964165,0.5743668052097433,1
location3,0.1,1,0.7368281494183242,0.47929134926752903,1
location3,0.25,0,0.03654693321980414,0.9641164304667098,1
location3,0.25,1,0.7660983035816938,0.46554346047938633,1
location3,0.5,0,1.7685774588012582,0.1720877842642712,1
location3,0.5,1,2.368467459828104,0.09505766665786063,1
