Duration,Direction,Location,Levene_W,p_value,Homoscedasticity_OK
0.1,0,1,0.4510176321645806,0.6373826359898392,1
0.1,0,2,1.239827971008267,0.2908162112018595,1
0.1,0,3,0.5844494756446829,0.5580046763818146,1
0.1,1,1,0.38392222111074353,0.6814977405421552,1
0.1,1,2,0.7112077921753133,0.4918252620042912,1
0.1,1,3,0.24958917065812908,0.7792723325111075,1
0.25,0,1,1.4824521441684992,0.22865505799062547,1
0.25,0,2,0.12283023268245061,0.884455999415267,1
0.25,0,3,1.2941232840682966,0.275586923280255,1
0.25,1,1,0.12463437036020854,0.8828637009434404,1
0.25,1,2,1.1923387462785515,0.3048941264986618,1
0.25,1,3,0.40334127839541567,0.6684330206737914,1
0.5,0,1,1.9239596263937853,0.1477957115927581,1
0.5,0,2,0.17265166858075529,0.8415128381719567,1
0.5,0,3,2.0559503513175152,0.12974103264606726,1
0.5,1,1,0.8725968841174815,0.4189705949925687,1
0.5,1,2,1.2297185006192701,0.2939106720882588,1
0.5,1,3,0.9151569299079944,0.40161911415796414,1
