participantNumber,trialNumber,feltThermal,feltMotion,feltDirection
14,1,1,0,0
14,2,1,1,1
14,3,-1,1,0
14,4,1,0,0
14,5,-1,1,0
14,6,-1,1,0
14,7,0,1,0
14,8,0,1,0
14,9,-1,1,0
14,10,1,1,0
14,11,0,1,0
14,12,-1,1,1
14,13,-1,1,0
14,14,1,1,0
14,15,1,1,1
14,16,1,1,0
14,17,-1,1,1
14,18,-1,1,0
14,19,0,1,1
14,20,0,1,1
14,21,1,1,0
14,22,1,1,0
14,23,-1,1,0
14,24,-1,0,1
14,25,-1,1,0
14,26,0,1,0
14,27,1,1,0
14,28,0,1,1
14,29,-1,1,0
14,30,0,1,1
14,31,1,0,1
14,32,-1,1,1
14,33,1,1,0
14,34,1,1,1
14,35,1,1,1
14,36,0,1,1
14,37,1,1,0
14,38,-1,1,1
14,39,0,1,1
14,40,0,0,1
14,41,1,0,1
14,42,1,1,0
14,43,1,1,0
14,44,-1,1,0
14,45,0,1,1
14,46,-1,1,1
14,47,-1,1,1
14,48,-1,1,1
14,49,-1,1,0
14,50,1,1,0
14,51,-1,1,1
14,52,0,1,1
14,53,0,1,1
14,54,-1,1,1
14,55,-1,1,0
14,56,1,1,0
14,57,0,1,1
14,58,-1,1,1
14,59,0,1,1
14,60,0,1,0
14,61,1,1,0
14,62,-1,1,1
14,63,0,1,0
14,64,1,1,1
14,65,1,1,1
14,66,1,1,1
14,67,0,1,1
14,68,-1,1,0
14,69,0,1,1
14,70,-1,1,0
14,71,-1,1,0
14,72,1,1,0
14,73,0,1,1
14,74,-1,1,0
14,75,-1,1,1
14,76,0,1,1
14,77,1,1,0
14,78,1,0,1
14,79,0,1,1
14,80,0,1,0
14,81,0,1,0
14,82,0,1,0
14,83,0,1,0
14,84,0,1,1
14,85,0,1,1
14,86,0,1,0
14,87,0,1,1
14,88,0,1,1
14,89,1,1,0
14,90,1,1,1
14,91,1,1,0
14,92,0,1,0
14,93,-1,1,0
14,94,1,1,1
14,95,1,1,1
14,96,-1,1,1
14,97,1,1,0
14,98,0,1,1
14,99,1,1,0
14,100,-1,1,0
14,101,0,1,0
14,102,1,1,0
14,103,0,1,0
14,104,0,1,0
14,105,-1,1,0
14,106,-1,0,1
14,107,0,1,0
14,108,0,1,0
14,109,0,1,1
14,110,0,1,1
14,111,-1,1,0
14,112,-1,1,0
14,113,0,1,0
14,114,1,1,0
14,115,1,1,0
14,116,1,1,0
14,117,-1,1,1
14,118,1,1,1
14,119,1,1,0
14,120,0,1,1
14,121,-1,1,0
14,122,-1,1,0
14,123,0,1,1
14,124,0,1,0
14,125,-1,0,1
14,126,-1,0,1
14,127,1,1,1
14,128,-1,0,1
14,129,0,1,1
14,130,-1,1,0
14,131,1,1,0
14,132,1,1,0
14,133,-1,1,0
14,134,0,1,0
14,135,1,1,0
14,136,0,1,1
14,137,1,1,1
14,138,1,1,0
14,139,-1,1,0
14,140,0,1,0
14,141,1,1,1
14,142,-1,0,1
14,143,1,1,0
14,144,1,1,0
14,145,0,1,0
14,146,-1,1,0
14,147,-1,1,0
14,148,1,0,1
14,149,0,1,1
14,150,-1,0,0
14,151,0,1,1
14,152,1,1,0
14,153,0,0,1
14,154,1,1,0
14,155,1,1,1
14,156,1,1,0
14,157,-1,1,0
14,158,1,1,1
14,159,1,1,1
14,160,-1,1,0
14,161,-1,1,1
14,162,0,1,0
14,163,-1,1,0
14,164,0,1,1
14,165,1,1,1
14,166,1,1,1
14,167,0,1,1
14,168,1,1,0
14,169,-1,1,1
14,170,-1,1,1
14,171,-1,1,1
14,172,0,1,0
14,173,0,1,1
14,174,1,1,1
14,175,-1,1,0
14,176,-1,1,0
14,177,0,1,0
14,178,0,1,0
14,179,0,1,1
14,180,1,1,1
